forenames,surname,party,votes,district,la,elected
John,Collingson,Laour Party,1578,Ashby,North Lincolnshire,TRUE
Andrea,Davison,Laour Party,1521,Ashby,North Lincolnshire,TRUE
Gary,Day,Conservative Party,671,Ashby,North Lincolnshire,FALSE
Sue,England,Conservative Party,680,Ashby,North Lincolnshire,FALSE
Michael,Grant,Laour Party,1506,Ashby,North Lincolnshire,TRUE
Gio,Loperfido,Conservative Party,516,Ashby,North Lincolnshire,FALSE
John,O'Conner,Laour Party,448,Axholme Central,North Lincolnshire,FALSE
Liz,Redfern,Conservative Party,1664,Axholme Central,North Lincolnshire,TRUE
David,Robinson,Conservative Party,1253,Axholme Central,North Lincolnshire,TRUE
Don,Stewart,Independent,569,Axholme Central,North Lincolnshire,FALSE
Lorraine,Yeadon,Laour Party,406,Axholme Central,North Lincolnshire,FALSE
Mel,Bailey,Independent,275,Axholme North,North Lincolnshire,FALSE
Trevor,Barker,Laour Party,1194,Axholme North,North Lincolnshire,TRUE
John,Briggs,Conservative Party,1330,Axholme North,North Lincolnshire,TRUE
Paul,MaCartan,Laour Party,927,Axholme North,North Lincolnshire,FALSE
Harold,Osborne,Independent,232,Axholme North,North Lincolnshire,FALSE
David,Patterson,Independent,92,Axholme North,North Lincolnshire,FALSE
Andrew,Singleton,Conservative Party,1093,Axholme North,North Lincolnshire,FALSE
Ron,Allcock,Conservative Party,1418,Axholme South,North Lincolnshire,TRUE
William,Eckhardt,Conservative Party,1353,Axholme South,North Lincolnshire,TRUE
Anamul,Hoque,Laour Party,337,Axholme South,North Lincolnshire,FALSE
Haque Nawaz,Kataria,Laour Party,343,Axholme South,North Lincolnshire,FALSE
Don,Lange,Liberal Democrat,847,Axholme South,North Lincolnshire,FALSE
Jan,Clark,Green Party,554,Barton,North Lincolnshire,FALSE
Emma,Donaldson,Laour Party,913,Barton,North Lincolnshire,FALSE
Jonathon,Evison,Conservative Party,1238,Barton,North Lincolnshire,TRUE
Montague John,Martin,Independent,630,Barton,North Lincolnshire,FALSE
