district,electorate,ballot_papers_issued,ballot_papers_rejected,seats,Turnout
Ashby,8682,2674,25,3,30.8
Axholme Central,5589,2476,24,2,44.3
Axholme North,6384,2809,21,2,44
Axholme South,5661,2757,17,2,48.7
Barton,8421,3420,24,3,41.5
Bottesford,9101,4050,24,3,44.5
Brigg and Wolds,9082,3978,31,3,43.8
Broughton and Appleby,5309,2267,22,2,42.7
Brumby,8177,2306,22,3,28.2
Burringham and Gunness,3059,1441,11,1,47.1
Burton upon Stather and Winterton,8882,4281,42,3,48.2
Crosby and Park,9405,2906,43,3,30.9
Ferry,8720,3610,33,3,41.4
Frodingham,5786,1626,14,2,28.1
Kingsway with Lincoln Gardens,8384,3144,57,3,37.5
Ridge,10230,4532,40,3,44.3
Town,5816,2245,20,2,38.6
