surname,forenames,party,votes,district,la,elected
Carden,Jo,Liberal Democrats,1443,Willerby and Kirk Ella,East Riding of Yorkshire,FALSE
Coates,Roger J,Labour Party,801,Willerby and Kirk Ella,East Riding of Yorkshire,FALSE
Horton,Shaun Harold,Conservative Party,2163,Willerby and Kirk Ella,East Riding of Yorkshire,TRUE
Ibson,Angela Kay,Conservative Party,2300,Willerby and Kirk Ella,East Riding of Yorkshire,TRUE
Lawson,Chris,Liberal Democrats,1324,Willerby and Kirk Ella,East Riding of Yorkshire,FALSE
Marten,John Everard Wordsworth,Labour Party,682,Willerby and Kirk Ella,East Riding of Yorkshire,FALSE
Ottaway,John,English Democrats,318,Willerby and Kirk Ella,East Riding of Yorkshire,FALSE
Robinson,Graham Anthony,English Democrats,403,Willerby and Kirk Ella,East Riding of Yorkshire,FALSE
Robinson,Joanne,English Democrats,387,Willerby and Kirk Ella,East Riding of Yorkshire,FALSE
Sheard,Alan V,Labour Party,705,Willerby and Kirk Ella,East Riding of Yorkshire,FALSE
Smith,Fred,Liberal Democrats,1476,Willerby and Kirk Ella,East Riding of Yorkshire,FALSE
Whitehead,Michael Stephen,Conservative Party,2039,Willerby and Kirk Ella,East Riding of Yorkshire,TRUE
Allsopp,Alan,Liberal Democrats,489,Wolds Weighton,East Riding of Yorkshire,FALSE
Burton,Andy,Conservative Party,2288,Wolds Weighton,East Riding of Yorkshire,TRUE
Chicken,Nigel Ian,The East Yorkshire Independents Party,1277,Wolds Weighton,East Riding of Yorkshire,FALSE
Hanson,Martha,Labour Party,783,Wolds Weighton,East Riding of Yorkshire,FALSE
Hemmerman,Peter,The East Yorkshire Independents Party,1146,Wolds Weighton,East Riding of Yorkshire,FALSE
Hope,Douglas James,Labour Party,724,Wolds Weighton,East Riding of Yorkshire,FALSE
Lindley,Malcom James,The East Yorkshire Independents Party,897,Wolds Weighton,East Riding of Yorkshire,FALSE
Maloney,Mark Stephen,Green Party,516,Wolds Weighton,East Riding of Yorkshire,FALSE
Needham,Dale Richard,Liberal Democrats,490,Wolds Weighton,East Riding of Yorkshire,FALSE
Peake,Kim Lousie,Labour Party,740,Wolds Weighton,East Riding of Yorkshire,FALSE
Rudd,David Norman,Conservative Party,2526,Wolds Weighton,East Riding of Yorkshire,TRUE
Sharpe,Dee,Conservative Party,2093,Wolds Weighton,East Riding of Yorkshire,TRUE
Birmingham,Bradley William,Conservative Party,2714,Beverley Rural,East Riding of Yorkshire,TRUE
Hancock,Angela,Labour Party,1367,Beverley Rural,East Riding of Yorkshire,FALSE
Jones,Judyth M,Liberal Democrats,1085,Beverley Rural,East Riding of Yorkshire,FALSE
Parnaby,Stephen Robert,Conservative Party,2714,Beverley Rural,East Riding of Yorkshire,TRUE
Peacock,Penelope,Independent,1842,Beverley Rural,East Riding of Yorkshire,FALSE
Pollard,Phyllis Mary,Conservative Party,2767,Beverley Rural,East Riding of Yorkshire,TRUE
Pybus,James William,Labour Party,1153,Beverley Rural,East Riding of Yorkshire,FALSE
Allerston,Raymond,Social Democratic Party,1167,Bridlington Central and Old Town,East Riding of Yorkshire,TRUE
Astell,Peter George,Labour Party,644,Bridlington Central and Old Town,East Riding of Yorkshire,FALSE
Burton,Richard,Conservative Party,903,Bridlington Central and Old Town,East Riding of Yorkshire,TRUE
Chambers,Linda Ruth,Liberal Democrats,173,Bridlington Central and Old Town,East Riding of Yorkshire,FALSE
Copsey,John,Conservative Party,685,Bridlington Central and Old Town,East Riding of Yorkshire,FALSE
Dealtry,Liam,Labour Party,864,Bridlington Central and Old Town,East Riding of Yorkshire,FALSE
Foster,Jackie,Social Democratic Party,497,Bridlington Central and Old Town,East Riding of Yorkshire,FALSE
Harrap,Richard,Conservative Party,2713,Bridlington North,East Riding of Yorkshire,TRUE
Matthews,Chris,Conservative Party,2449,Bridlington North,East Riding of Yorkshire,TRUE
Mcmanus,George,Labour Party,1085,Bridlington North,East Riding of Yorkshire,FALSE
Sparks,Elliot Giles,Labour Party,1313,Bridlington North,East Riding of Yorkshire,FALSE
Walton,Cherry,Labour Party,990,Bridlington North,East Riding of Yorkshire,FALSE
Wilkinson,John Clive,Conservative Party,2161,Bridlington North,East Riding of Yorkshire,TRUE
Armitage,Mick,Labour Party,774,Cottingham North,East Riding of Yorkshire,FALSE
Bridge,Richard K,Labour Party,740,Cottingham North,East Riding of Yorkshire,FALSE
Cooper,Gary James,Liberal Democrats,605,Cottingham North,East Riding of Yorkshire,FALSE
Jump,Ros,Conservative Party,1665,Cottingham North,East Riding of Yorkshire,TRUE
Mathieson,Geraldine,Conservative Party,1462,Cottingham North,East Riding of Yorkshire,TRUE
Weighill,Richard Arthur,Liberal Democrats,596,Cottingham North,East Riding of Yorkshire,FALSE
Chadwick,Chad,Conservative Party,1175,Bridlington South,East Riding of Yorkshire,TRUE
Chadwick,Margaret,Conservative Party,1235,Bridlington South,East Riding of Yorkshire,TRUE
Chambers,Keith W,Liberal Democrats,347,Bridlington South,East Riding of Yorkshire,FALSE
Finlay,Shelagh,Labour Party,1216,Bridlington South,East Riding of Yorkshire,TRUE
Grange,Dave,Labour Party,1083,Bridlington South,East Riding of Yorkshire,FALSE
Heslop-Mullens,Micheal John,Liberal Democrats,275,Bridlington South,East Riding of Yorkshire,FALSE
Marsburg,Cyril HD,Independent,573,Bridlington South,East Riding of Yorkshire,FALSE
Marten,Danny,Labour Party,886,Bridlington South,East Riding of Yorkshire,FALSE
Milns,Malcolm Andrew,UK Independence Party,539,Bridlington South,East Riding of Yorkshire,FALSE
Milns,Thelma,UK Independence Party,419,Bridlington South,East Riding of Yorkshire,FALSE
Pickering,Geoff,Conservative Party,831,Bridlington South,East Riding of Yorkshire,FALSE
Green,Helen Elizabeth,Conservative Party,1237,Cottingham South,East Riding of Yorkshire,TRUE
Kind,Sam,Labour Party,837,Cottingham South,East Riding of Yorkshire,FALSE
Knight,Win,Liberal Democrats,1117,Cottingham South,East Riding of Yorkshire,FALSE
Marten,Julia,Labour Party,786,Cottingham South,East Riding of Yorkshire,FALSE
McClure,Katrin Enid,Liberal Democrats,1031,Cottingham South,East Riding of Yorkshire,FALSE
