forenames,surname,party,votes,district,la,elected
Nic,Dakin,Labour Party,14640,Scunthorpe,UK Parliament,TRUE
Caroline,Johnson,Conservative Party,12091,Scunthorpe,UK Parliament,FALSE
Neil,Poole,Liberal Democrat,6774,Scunthorpe,UK Parliament,FALSE
Jane,Collins,UKIP,1686,Scunthorpe,UK Parliament,FALSE
Douglas,Ward,BNP,1447,Scunthorpe,UK Parliament,FALSE
Natalie,Hurst,Green Party,396,Scunthorpe,UK Parliament,FALSE
Graham,Stuart,Conservative Party,25063,Beverley and Holderness,UK Parliament,TRUE
Craig,Dobson,Liberal Democrat,12076,Beverley and Holderness,UK Parliament,FALSE
Ian,Saunders,Labour Party,11224,Beverley and Holderness,UK Parliament,FALSE
Neil,Whitelam,BNP,2080,Beverley and Holderness,UK Parliament,FALSE
Andy,Horsfield,UKIP,1845,Beverley and Holderness,UK Parliament,FALSE
Bill,Rigby,Green Party,686,Beverley and Holderness,UK Parliament,FALSE
Ron,Hughes,Independent,225,Beverley and Holderness,UK Parliament,FALSE
Andrew,Percy,Conservative Party,19680,Brigg and Goole,UK Parliament,TRUE
Ian,Cawsey,Labour Party,14533,Brigg and Goole,UK Parliament,FALSE
Richard,Nixon,Liberal Democrat,6414,Brigg and Goole,UK Parliament,FALSE
Nigel,Wright,UKIP,1749,Brigg and Goole,UK Parliament,FALSE
Steve,Ward,BNP,1498,Brigg and Goole,UK Parliament,FALSE
Martin,Vickers,Conservative Party,18939,Cleethorpes,UK Parliament,TRUE
Shona,McIsaac,Labour Party,14641,Cleethorpes,UK Parliament,FALSE
Malcolm,Morland,Liberal Democrat,8192,Cleethorpes,UK Parliament,FALSE
Stephen,Harness,UKIP,3194,Cleethorpes,UK Parliament,FALSE
Greg,Knight,Conservative Party,24328,East Yorkshire,UK Parliament,FALSE
Robert,Adamson,Liberal Democrat,10842,East Yorkshire,UK Parliament,TRUE
Paul,Rounding,Labour Party,10401,East Yorkshire,UK Parliament,FALSE
Chris,Daniels,UKIP,2142,East Yorkshire,UK Parliament,FALSE
Gary,Pudsey,BNP,1865,East Yorkshire,UK Parliament,FALSE
Ray,Allerston,Social Democratic,914,East Yorkshire,UK Parliament,FALSE
Mike,Jackson,Green Party,762,East Yorkshire,UK Parliament,FALSE
Austin,Mitchell,Labour Party,10777,Great Grimsby,UK Parliament,TRUE
Victoria,Ayling,Conservative Party,10063,Great Grimsby,UK Parliament,FALSE
Andrew,De Freitas,Liberal Democrat,7388,Great Grimsby,UK Parliament,FALSE
Henry,Hudson,UKIP,2043,Great Grimsby,UK Parliament,FALSE
Stephen,Fyfe,BNP,1517,Great Grimsby,UK Parliament,FALSE
Ernie,Brown,Independent,835,Great Grimsby,UK Parliament,FALSE
Adrian,Howe,People's National Democratic Party,331,Great Grimsby,UK Parliament,FALSE
David Michael,Davis,Conservative Party,24486,Haltemprice and Howden,UK Parliament,TRUE
Jon,Neal,Liberal Democrat,12884,Haltemprice and Howden,UK Parliament,FALSE
Danny,Marten,Labour Party,7630,Haltemprice and Howden,UK Parliament,FALSE
James,Cornell,BNP,1583,Haltemprice and Howden,UK Parliament,FALSE
Joanne,Robinson,English Democrats,1485,Haltemprice and Howden,UK Parliament,FALSE
Shan,Oakes,Green Party,669,Haltemprice and Howden,UK Parliament,FALSE
Karl,Turner,Labour Party,16387,Kingston upon Hull East,UK Parliament,TRUE
Jeremy,Wilcock,Liberal Democrat,7790,Kingston upon Hull East,UK Parliament,FALSE
Christine,Mackay,Conservative Party,5667,Kingston upon Hull East,UK Parliament,FALSE
Mike,Hookem,UKIP,2745,Kingston upon Hull East,UK Parliament,FALSE
Joe,Uttley,National Front,880,Kingston upon Hull East,UK Parliament,FALSE
Mike,Burton,English Democrats,715,Kingston upon Hull East,UK Parliament,FALSE
Diana,Johnson,Labour Party,13044,Kingston upon Hull North,UK Parliament,TRUE
Denis,Healy,Liberal Democrat,12403,Kingston upon Hull North,UK Parliament,FALSE
Victoria,Aitken,Conservative Party,4365,Kingston upon Hull North,UK Parliament,FALSE
Paul,Barlow,UKIP,1358,Kingston upon Hull North,UK Parliament,FALSE
Martin,Deabe,Green Party,478,Kingston upon Hull North,UK Parliament,FALSE
Michael,Cassidy,English Democrats,200,Kingston upon Hull North,UK Parliament,FALSE
Alan,Johnson,Labour Party,13378,Kingston upon Hull West and Hessle,UK Parliament,TRUE
Mike,Ross,Liberal Democrat,7638,Kingston upon Hull West and Hessle,UK Parliament,FALSE
Gary,Shores,Conservative Party,6361,Kingston upon Hull West and Hessle,UK Parliament,FALSE
Ken,Horden,UKIP,1688,Kingston upon Hull West and Hessle,UK Parliament,FALSE
Edward,Scott,BNP,1416,Kingston upon Hull West and Hessle,UK Parliament,FALSE
Peter,Mawer,English Democrats,876,Kingston upon Hull West and Hessle,UK Parliament,FALSE
Keith,Gibson,TUSC,150,Kingston upon Hull West and Hessle,UK Parliament,FALSE
