district,electorate,ballot_papers_issued,ballot_papers_rejected,seats,turnout
Croft Baker,8582,2857,14,1,33.29
East Marsh,7208,1766,11,1,24.5
Freshney,7342,1978,4,1,26.94
Haverstoe,8181,3108,3,1,37.99
Heneage,8072,2353,10,1,29.15
Humberston and New Waltham,8785,3116,9,1,35.47
Immingham,8581,2860,8,1,33.33
Park,8773,3061,7,1,34.89
Scartho,8329,2921,11,1,35.07
South,7926,1937,9,1,24.44
Sidney Sussex,8163,2138,2,1,26.19
Waltham,5613,2018,8,1,35.95
West Marsh,4875,1173,7,1,24.06
Wolds,5684,1995,8,1,35.1
Yarborough,7603,2278,7,1,29.96
