forenames,surname,party,votes,district,la,elected
Graham,Stuart,The Conservative Party,20435,Beverley and Holderness,UK Parliament,TRUE
George,McManus,The Labour Party,17854,Beverley and Holderness,UK Parliament,FALSE
Stewart,Willie,Liberal Democrats,9578,Beverley and Holderness,UK Parliament,FALSE
Oliver,Marriott,UKIP,2336,Beverley and Holderness,UK Parliament,FALSE
Ian,Cawsey,The Labour Party,19257,Brigg and Goole,UK Parliament,TRUE
Matthew,Bean,The Conservative Party,16363,Brigg and Goole,UK Parliament,FALSE
Gary,Johnson,Liberal Democrats,5690,Brigg and Goole,UK Parliament,FALSE
Stephen,Martin,UKIP,1268,Brigg and Goole,UK Parliament,FALSE
Shona,McIsaac,The Labour Party,18889,Cleethorpes,UK Parliament,TRUE
Martin,Vickers,The Conservative Party,16247,Cleethorpes,UK Parliament,FALSE
Geoff,Lowis,Liberal Democrats,6437,Cleethorpes,UK Parliament,FALSE
William,Hardie,UKIP,2013,Cleethorpes,UK Parliament,FALSE
Greg,Knight,The Conservative Party,21215,East Yorkshire,UK Parliament,TRUE
Emma,Hoddinott,The Labour Party,14932,East Yorkshire,UK Parliament,FALSE
Jim,Wastling,Liberal Democrats,9075,East Yorkshire,UK Parliament,FALSE
Christopher,Tresidder,UKIP,1703,East Yorkshire,UK Parliament,FALSE
Austin,Mitchell,The Labour Party,15512,Great Grimsby,UK Parliament,TRUE
Giles,Taylor,The Conservative Party,7858,Great Grimsby,UK Parliament,FALSE
Andrew,De Freitas,Liberal Democrats,6356,Great Grimsby,UK Parliament,FALSE
Stephen,Fyfe,BNP,1338,Great Grimsby,UK Parliament,FALSE
Martin,Grant,UKIP,1239,Great Grimsby,UK Parliament,FALSE
David,Brooks,The Green Party,661,Great Grimsby,UK Parliament,FALSE
David Michael,Davis,The Conservative Party,22792,Haltemprice and Howden,UK Parliament,TRUE
Jon,Neal,Liberal Democrats,17676,Haltemprice and Howden,UK Parliament,FALSE
Edward,Hart,The Labour Party,6104,Haltemprice and Howden,UK Parliament,FALSE
John,Mainprize,BNP,798,Haltemprice and Howden,UK Parliament,FALSE
Philip,Lane,UKIP,659,Haltemprice and Howden,UK Parliament,FALSE
John,Prestcott,The Labour Party,17609,Kingston upon Hull East,UK Parliament,TRUE
Andy,Sloan,Liberal Democrats,5862,Kingston upon Hull East,UK Parliament,FALSE
Katy,Lindsay,The Conservative Party,4038,Kingston upon Hull East,UK Parliament,FALSE
Alan,Siddle,BNP,1022,Kingston upon Hull East,UK Parliament,FALSE
Janet,Toker,Liberal,1018,Kingston upon Hull East,UK Parliament,FALSE
Graham,Morris,Veritas,750,Kingston upon Hull East,UK Parliament,FALSE
Roland,Noon,Independent,334,Kingston upon Hull East,UK Parliament,FALSE
Linda,Muir,Socialist Labour,207,Kingston upon Hull East,UK Parliament,FALSE
Carl,Wagner,Legalise Cannabis,182,Kingston upon Hull East,UK Parliament,FALSE
Diana,Johnson,The Labour Party,15364,Kingston upon Hull North,UK Parliament,TRUE
Denis,Healy,Liberal Democrats,8013,Kingston upon Hull North,UK Parliament,FALSE
Lydia,Rivlin,The Conservative Party,3822,Kingston upon Hull North,UK Parliament,FALSE
Martin,Deane,The Green Party,858,Kingston upon Hull North,UK Parliament,FALSE
Brian,Wainright,BNP,766,Kingston upon Hull North,UK Parliament,FALSE
Tineke,Robinson,Veritas,389,Kingston upon Hull North,UK Parliament,FALSE
Chris,Veasey,Northern Progress,193,Kingston upon Hull North,UK Parliament,FALSE
Carl,Wagner,Legalise Cannabis,179,Kingston upon Hull North,UK Parliament,FALSE
Alan,Johnson,The Labour Party,15305,Kingston upon Hull West and Hessle,UK Parliament,TRUE
David,Nolan,Liberal Democrats,5855,Kingston upon Hull West and Hessle,UK Parliament,FALSE
Karen,Woods,The Conservative Party,5769,Kingston upon Hull West and Hessle,UK Parliament,FALSE
Stephen,Wallis,Veritas,889,Kingston upon Hull West and Hessle,UK Parliament,FALSE
Elliot,Morley,The Labour Party,17355,Scunthorpe,UK Parliament,TRUE
Julian,Sturdy,The Conservative Party,8392,Scunthorpe,UK Parliament,FALSE
Neil,Poole,Liberal Democrats,5556,Scunthorpe,UK Parliament,FALSE
David,Baxendale,UKIP,1361,Scunthorpe,UK Parliament,FALSE
