forenames,surname,party,votes,district,la,elected,
Nic,Dakin,Labour Party,,Scunthorpe,UK Parliament,FALSE,
Jo,Gideon,Conservative Party,,Scunthorpe,UK Parliament,FALSE,
Stephen,Howd,UKIP,,Scunthorpe,UK Parliament,FALSE,
Des,Comerford,Independent,,Scunthorpe,UK Parliament,FALSE,
Martin,Dwyer,Green Party,,Scunthorpe,UK Parliament,FALSE,
Denis,Healy,Liberal Democrat,,Beverley and Holderness,UK Parliament,FALSE,
Richard,Howarth,Green Party,,Beverley and Holderness,UK Parliament,FALSE,
Margaret,Pinder,Labour Party,,Beverley and Holderness,UK Parliament,FALSE,
Gary,Shores,UKIP,,Beverley and Holderness,UK Parliament,FALSE,
Graham,Stuart,Conservative Party,,Beverley and Holderness,UK Parliament,FALSE,
Andrew,Percy,Conservative Party,,Brigg and Goole,UK Parliament,FALSE,
Jacky,Crawford,Labour Party,,Brigg and Goole,UK Parliament,FALSE,
David,Jeffreys,UKIP,,Brigg and Goole,UK Parliament,FALSE,
Natalie,Hurst,Green Party,,Brigg and Goole,UK Parliament,FALSE,
Martin,Vickers,Conservative Party,,Cleethorpes,UK Parliament,FALSE,FALSE
Peter,Keith,Labour Party,,Cleethorpes,UK Parliament,FALSE,FALSE
Roy,Horobin,Liberal Democrat,,Cleethorpes,UK Parliament,FALSE,FALSE
Stephen,Harness,UKIP,,Cleethorpes,UK Parliament,FALSE,FALSE
Carol,Thornton,Green Party,,Cleethorpes,UK Parliament,FALSE,FALSE
Greg,Knight,Conservative Party,,East Yorkshire,UK Parliament,FALSE,FALSE
Kevin,Khickson,Labour Party,,East Yorkshire,UK Parliament,FALSE,FALSE
Mark,Maloney,Green Party,,East Yorkshire,UK Parliament,FALSE,FALSE
Melanie,Onn,Labour Party,,Great Grimsby,UK Parliament,FALSE,FALSE
Victoria,Ayling,UKIP,,Great Grimsby,UK Parliament,FALSE,FALSE
Steve,Beasant,Liberal Democrat,,Great Grimsby,UK Parliament,FALSE,FALSE
Vicky,Dunn,Green Party,,Great Grimsby,UK Parliament,FALSE,FALSE
Marc,Jones,Conservative Party,,Great Grimsby,UK Parliament,FALSE,FALSE
Val,O'Flynn,TUSC,,Great Grimsby,UK Parliament,FALSE,FALSE
David Michael,Davis,Conservative Party,,Haltemprice and Howden,UK Parliament,FALSE,FALSE
Carl,Minns,Liberal Democrat,,Haltemprice and Howden,UK Parliament,FALSE,FALSE
Edward,Hart,Labour Party,,Haltemprice and Howden,UK Parliament,FALSE,FALSE
Dinana,Wallis,Yorkshire First,,Haltemprice and Howden,UK Parliament,FALSE,FALSE
Tim,Greene,Green Party,,Haltemprice and Howden,UK Parliament,FALSE,FALSE
Karl,Turner,Labour Party,,Kingston upon Hull East,UK Parliament,FALSE,FALSE
Martin,Clayton,Yorkshire First,,Kingston upon Hull East,UK Parliament,FALSE,FALSE
Christine,Mackay,Conservative Party,,Kingston upon Hull East,UK Parliament,FALSE,FALSE
Richard,Barrett,UKIP,,Kingston upon Hull East,UK Parliament,FALSE,FALSE
Diana,Johnson,Labour Party,,Kingston upon Hull North,UK Parliament,FALSE,FALSE
Mike,Ross,Liberal Democrat,,Kingston upon Hull North,UK Parliament,FALSE,FALSE
Victoria,Aitken,Conservative Party,,Kingston upon Hull North,UK Parliament,FALSE,FALSE
Martin,Deane,Green Party,,Kingston upon Hull North,UK Parliament,FALSE,FALSE
Alan,Johnson,Labour Party,,Kingston upon Hull West and Hessle,UK Parliament,FALSE,FALSE
Claire,Thomas,Liberal Democrat,,Kingston upon Hull West and Hessle,UK Parliament,FALSE,FALSE
Mike,Whitehead,Conservative Party,,Kingston upon Hull West and Hessle,UK Parliament,FALSE,FALSE
Paul,Salvidge,UKIP,,Kingston upon Hull West and Hessle,UK Parliament,FALSE,FALSE
Angela,Needham,Green Party,,Kingston upon Hull West and Hessle,UK Parliament,FALSE,FALSE
