Name,surname,forenames,party,votes,district,la,elected
"Brabazon, Majorie Ann",Brabazon,Majorie Ann,Labour Party,1303,Avenue,"Kingston upon Hull, City of",TRUE
"Butterworth, Simone",Butterworth,Simone,Liberal Democrats,1152,Avenue,"Kingston upon Hull, City of",FALSE
"Deane, Martin John",Deane,Martin John,Green Party,771,Avenue,"Kingston upon Hull, City of",FALSE
"Hayward, Alexander David",Hayward,Alexander David,Conservative Party,211,Avenue,"Kingston upon Hull, City of",FALSE
"Bond, Daniel Mark",Bond,Daniel Mark,Conservative Party,154,Boothferry,"Kingston upon Hull, City of",FALSE
"Payne, Ruth Deborah",Payne,Ruth Deborah,Liberal Democrats,1150,Boothferry,"Kingston upon Hull, City of",TRUE
"Pocknee, Philip David",Pocknee,Philip David,Labour Party,807,Boothferry,"Kingston upon Hull, City of",FALSE
"Salvidge, Paul Nigel",Salvidge,Paul Nigel,UK Independence Party (UKIP),809,Boothferry,"Kingston upon Hull, City of",FALSE
"Baxter, Colin Robert",Baxter,Colin Robert,Conservative Party,111,Bransholme East,"Kingston upon Hull, City of",FALSE
"Harrison, Anita",Harrison,Anita,Labour Party,1033,Bransholme East,"Kingston upon Hull, City of",TRUE
"Wood, Eleanor Frances",Wood,Eleanor Frances,Liberal Democrats,119,Bransholme East,"Kingston upon Hull, City of",FALSE
" Barnes, Eden", Barnes,Eden,Conservative Party,48,Bransholme West,"Kingston upon Hull, City of",FALSE
"Webster, Philip John",Webster,Philip John,Labour Party,596,Bransholme West,"Kingston upon Hull, City of",FALSE
"Wood, David",Wood,David,Liberal Democrats,57,Bransholme West,"Kingston upon Hull, City of",FALSE
"Worrall, Colin David",Worrall,Colin David,UK Independence Party (UKIP),550,Bransholme West,"Kingston upon Hull, City of",FALSE
"Fareham, John Logan",Fareham,John Logan,Conservative and Unionist Party,1161,Bricknell,"Kingston upon Hull, City of",TRUE
"Johnson, Malcolm Peter",Johnson,Malcolm Peter,UK Independence Party (UKIP),377,Bricknell,"Kingston upon Hull, City of",FALSE
"Robinson, Sarita Roseanne",Robinson,Sarita Roseanne,Liberal Democrats,70,Bricknell,"Kingston upon Hull, City of",FALSE
"Rouse-Deane, Karen Jane",Rouse-Deane,Karen Jane,Labour Party,669,Bricknell,"Kingston upon Hull, City of",FALSE
"Russell, James Edward",Russell,James Edward,Green Party,159,Bricknell,"Kingston upon Hull, City of",FALSE
"Lunn, Gwendoline",Lunn,Gwendoline,Labour Party,696,Derringham,"Kingston upon Hull, City of",FALSE
"Payne, Cheryl Elizabeth",Payne,Cheryl Elizabeth,Liberal Democrats,967,Derringham,"Kingston upon Hull, City of",TRUE
"Shepherd, Robert Brian",Shepherd,Robert Brian,UK Independence Party (UKIP),731,Derringham,"Kingston upon Hull, City of",FALSE
"Whitehead, Eleonor Ruth",Whitehead,Eleonor Ruth,Conservative Party,140,Derringham,"Kingston upon Hull, City of",FALSE
"Anwar, Salman",Anwar,Salman,Conservative Party,82,Drypool,"Kingston upon Hull, City of",FALSE
"Chambers, Linda",Chambers,Linda,Liberal Democrats,1488,Drypool,"Kingston upon Hull, City of",TRUE
"Hornby, Jannette",Hornby,Jannette,Labour Party,802,Drypool,"Kingston upon Hull, City of",FALSE
"Paterson, John",Paterson,John,UK Independence Party (UKIP),714,Drypool,"Kingston upon Hull, City of",FALSE
"Crompton, John Mathew",Crompton,John Mathew,Conservative Party,113,Holderness,"Kingston upon Hull, City of",FALSE
"Dad, Jacqueline",Dad,Jacqueline,Liberal Democrats,1493,Holderness,"Kingston upon Hull, City of",TRUE
"Singh, Surjit",Singh,Surjit,UK Independence Party (UKIP),884,Holderness,"Kingston upon Hull, City of",FALSE
"Spooner, Paul",Spooner,Paul,Trade Unionists and Socialists Against Cuts,67,Holderness,"Kingston upon Hull, City of",FALSE
"Thompson, Denise",Thompson,Denise,Labour Party,846,Holderness,"Kingston upon Hull, City of",FALSE
"Mackay, Philip",Mackay,Philip,Conservative Party,236,Ings,"Kingston upon Hull, City of",FALSE
"Phillips, Adam",Phillips,Adam,UK Independence Party (UKIP),940,Ings,"Kingston upon Hull, City of",TRUE
"Robinson, John Graham",Robinson,John Graham,Liberal Democrats,202,Ings,"Kingston upon Hull, City of",FALSE
